year,park,visits
2010,Voyageurs National Park,253891
2010,White Sands National Park,470921
2010,Wind Cave National Park,577141
2010,Wrangell-St. Elias National Park & Preserve,73170
2010,Yellowstone National Park,3640185
2010,Yosemite National Park,3901408
2010,Zion National Park,2665972
2011,Acadia National Park,2374645
2011,Arches National Park,1040758
2011,Badlands National Park,870741
2011,Big Bend National Park,361862
2011,Biscayne National Park,476077
2011,Black Canyon of the Gunnison National Park,168336
2011,Bryce Canyon National Park,1296000
2011,Canyonlands National Park,473773
2011,Capitol Reef National Park,668834
2011,Carlsbad Caverns National Park,365000
2011,Channel Islands National Park,242756
2011,Congaree National Park,120166
2011,Crater Lake National Park,423551
2011,Cuyahoga Valley National Park,2161185
2011,Death Valley National Park,946867
2011,Denali National Park & Preserve,406582
2011,Dry Tortugas National Park,75171
2011,Everglades National Park,934351
2011,Gates of the Arctic National Park & Preserve,11623
2011,Gateway Arch National Park,2259020
2011,Glacier Bay National Park & Preserve,431986
2011,Glacier National Park,1853564
2011,Grand Canyon National Park,4298178
2011,Grand Teton National Park,2587437
2011,Great Basin National Park,91451
2011,Great Sand Dunes National Park & Preserve,280058
2011,Great Smoky Mountains National Park,9008830
2011,Guadalupe Mountains National Park,152546
2011,Haleakala National Park,956989
2011,Hawaii Volcanoes National Park,1352123
2011,Hot Springs National Park,1396354
2011,Indiana Dunes National Park,1840513
2011,Isle Royale National Park,15892
2011,Joshua Tree National Park,1396237
2011,Katmai National Park & Preserve,48939
2011,Kenai Fjords National Park,346852
2011,Kings Canyon National Park,566810
2011,Kobuk Valley National Park,11485
2011,Lake Clark National Park & Preserve,5158
2011,Lassen Volcanic National Park,351269
2011,Mammoth Cave National Park,483319
2011,Mesa Verde National Park,572329
2011,Mount Rainier National Park,1038229
2011,New River Gorge National Park & Preserve,1071088
2011,North Cascades National Park,19208
2011,Olympic National Park,2966502
2011,Petrified Forest National Park,614054
2011,Pinnacles National Park,393219
2011,Redwood National Park,380167
2011,Rock Creek Park,2050490
2011,Rocky Mountain National Park,3176941
