year,park,visits
2020,Lake Clark National Park & Preserve,4948
2020,Lassen Volcanic National Park,542274
2020,Mammoth Cave National Park,290392
2020,Mesa Verde National Park,287477
2020,Mount Rainier National Park,1160754
2020,New River Gorge National Park & Preserve,1054374
2020,North Cascades National Park,30885
2020,Olympic National Park,2499177
2020,Petrified Forest National Park,384483
2020,Pinnacles National Park,165740
2020,Redwood National Park,265177
2020,Rock Creek Park,1768152
2020,Rocky Mountain National Park,3305199
2020,Saguaro National Park,762226
2020,Sequoia National Park,796086
2020,Shenandoah National Park,1666265
2020,Theodore Roosevelt National Park,551303
2020,Virgin Islands National Park,167540
2020,Voyageurs National Park,263091
2020,White Sands National Park,415383
2020,Wind Cave National Park,448405
2020,Wrangell-St. Elias National Park & Preserve,16655
2020,Yellowstone National Park,3806306
2020,Yosemite National Park,2268313
2020,Zion National Park,3591254
2021,Acadia National Park,4069098
2021,Arches National Park,1806865
2021,Badlands National Park,1224226
2021,Big Bend National Park,581220
2021,Biscayne National Park,705655
2021,Black Canyon of the Gunnison National Park,308910
2021,Bryce Canyon National Park,2104600
2021,Canyonlands National Park,911594
2021,Capitol Reef National Park,1405353
2021,Carlsbad Caverns National Park,349244
2021,Channel Islands National Park,319252
2021,Congaree National Park,215181
2021,Crater Lake National Park,647751
2021,Cuyahoga Valley National Park,2575275
2021,Death Valley National Park,1146551
2021,Denali National Park & Preserve,229521
2021,Dry Tortugas National Park,83817
2021,Everglades National Park,942130
2021,Gates of the Arctic National Park & Preserve,7362
2021,Gateway Arch National Park,1145081
2021,Glacier Bay National Park & Preserve,89768
2021,Glacier National Park,3081656
2021,Grand Canyon National Park,4532677
2021,Grand Teton National Park,3885230
2021,Great Basin National Park,144875
2021,Great Sand Dunes National Park & Preserve,602613
2021,Great Smoky Mountains National Park,14161548
2021,Guadalupe Mountains National Park,243291
2021,Haleakala National Park,853181
2021,Hawaii Volcanoes National Park,1262747
2021,Hot Springs National Park,2162884
2021,Indiana Dunes National Park,3177210
2021,Isle Royale National Park,25844
2021,Joshua Tree National Park,3064400
2021,Katmai National Park & Preserve,24764
2021,Kenai Fjords National Park,411782
2021,Kings Canyon National Park,562918
2021,Kobuk Valley National Park,11540
2021,Lake Clark National Park & Preserve,18278
2021,Lassen Volcanic National Park,359635
2021,Mammoth Cave National Park,515774
2021,Mesa Verde National Park,548477
2021,Mount Rainier National Park,1670063
2021,New River Gorge National Park & Preserve,1682720
2021,North Cascades National Park,17855
2021,Olympic National Park,2718925
2021,Petrified Forest National Park,590334
2021,Pinnacles National Park,348857
2021,Redwood National Park,435879
2021,Rock Creek Park,1838346
2021,Rocky Mountain National Park,4434848
2021,Saguaro National Park,1079786
2021,Sequoia National Park,1059548
2021,Shenandoah National Park,1592312
2021,Theodore Roosevelt National Park,796085
2021,Virgin Islands National Park,323999
2021,Voyageurs National Park,243042
2021,White Sands National Park,782469
2021,Wind Cave National Park,709001
2021,Wrangell-St. Elias National Park & Preserve,50189
2021,Yellowstone National Park,4860242
2021,Yosemite National Park,3287595
2021,Zion National Park,5039835
2022,Acadia National Park,3970260
2022,Arches National Park,1460652
2022,Badlands National Park,1006809
2022,Big Bend National Park,514107
2022,Biscayne National Park,701023
2022,Black Canyon of the Gunnison National Park,297257
2022,Bryce Canyon National Park,2354660
2022,Canyonlands National Park,779147
2022,Capitol Reef National Park,1227608
2022,Carlsbad Caverns National Park,390932
2022,Channel Islands National Park,323245
2022,Congaree National Park,204522
2022,Crater Lake National Park,527259
2022,Cuyahoga Valley National Park,2913312
2022,Death Valley National Park,1128862
2022,Denali National Park & Preserve,427562
2022,Dry Tortugas National Park,78488
2022,Everglades National Park,1155193
2022,Gates of the Arctic National Park & Preserve,9457
2022,Gateway Arch National Park,1618774
2022,Glacier Bay National Park & Preserve,545758
2022,Glacier National Park,2908458
2022,Grand Canyon National Park,4732101
2022,Grand Teton National Park,2806223
2022,Great Basin National Park,142115
2022,Great Sand Dunes National Park & Preserve,493428
2022,Great Smoky Mountains National Park,12937633
2022,Guadalupe Mountains National Park,219987
2022,Haleakala National Park,1087616
2022,Hawaii Volcanoes National Park,1580961
2022,Hot Springs National Park,2646133
2022,Indiana Dunes National Park,2834180
2022,Isle Royale National Park,25454
2022,Joshua Tree National Park,3058294
2022,Katmai National Park & Preserve,33908
2022,Kenai Fjords National Park,389943
2022,Kings Canyon National Park,640986
2022,Kobuk Valley National Park,16925
2022,Lake Clark National Park & Preserve,18187
2022,Lassen Volcanic National Park,446291
2022,Mammoth Cave National Park,663147
2022,Mesa Verde National Park,499790
2022,Mount Rainier National Park,1622395
2022,New River Gorge National Park & Preserve,1593523
2022,North Cascades National Park,30154
2022,Olympic National Park,2432972
2022,Petrified Forest National Park,505209
2022,Pinnacles National Park,275023
2022,Redwood National Park,458400
2022,Rock Creek Park,2026156
2022,Rocky Mountain National Park,4300424
2022,Saguaro National Park,908194
2022,Sequoia National Park,1153198
2022,Shenandoah National Park,1449300
2022,Theodore Roosevelt National Park,668679
2022,Virgin Islands National Park,196752
2022,Voyageurs National Park,221434
2022,White Sands National Park,705127
2022,Wind Cave National Park,607418
2022,Wrangell-St. Elias National Park & Preserve,65236
2022,Yellowstone National Park,3290242
2022,Yosemite National Park,3667550
2022,Zion National Park,4692417
2023,Acadia National Park,3879890
2023,Arches National Park,1482045
2023,Badlands National Park,1046400
2023,Big Bend National Park,509129
2023,Biscayne National Park,571242
2023,Black Canyon of the Gunnison National Park,357069
2023,Bryce Canyon National Park,2461269
2023,Canyonlands National Park,800322
2023,Capitol Reef National Park,1268861
2023,Carlsbad Caverns National Park,394121
2023,Channel Islands National Park,328746
2023,Congaree National Park,250114
2023,Crater Lake National Park,559976
2023,Cuyahoga Valley National Park,2860059
2023,Death Valley National Park,1099632
2023,Denali National Park & Preserve,498722
2023,Dry Tortugas National Park,84285
2023,Everglades National Park,810189
2023,Gates of the Arctic National Park & Preserve,11045
2023,Gateway Arch National Park,2422836
2023,Glacier Bay National Park & Preserve,703659
2023,Glacier National Park,2933616
2023,Grand Canyon National Park,4733705
2023,Grand Teton National Park,3417106
2023,Great Basin National Park,143265
2023,Great Sand Dunes National Park & Preserve,512219
2023,Great Smoky Mountains National Park,13297647
2023,Guadalupe Mountains National Park,227340
2023,Haleakala National Park,791292
2023,Hawaii Volcanoes National Park,1620294
2023,Hot Springs National Park,2502967
2023,Indiana Dunes National Park,2765892
2023,Isle Royale National Park,28965
2023,Joshua Tree National Park,3270404
2023,Katmai National Park & Preserve,33763
2023,Kenai Fjords National Park,387525
2023,Kings Canyon National Park,643065
2023,Kobuk Valley National Park,17616
2023,Lake Clark National Park & Preserve,16728
2023,Lassen Volcanic National Park,418978
2023,Mammoth Cave National Park,654450
2023,Mesa Verde National Park,505194
2023,Mount Rainier National Park,1674294
2023,New River Gorge National Park & Preserve,1707223
2023,North Cascades National Park,40351
2023,Olympic National Park,2947503
2023,Petrified Forest National Park,520491
2023,Pinnacles National Park,341220
2023,Redwood National Park,409105
2023,Rock Creek Park,1817868
2023,Rocky Mountain National Park,4115837
2023,Saguaro National Park,1010906
2023,Sequoia National Park,980567
2023,Shenandoah National Park,1576008
2023,Theodore Roosevelt National Park,746862
2023,Virgin Islands National Park,343685
2023,Voyageurs National Park,220825
2023,White Sands National Park,729096
2023,Wind Cave National Park,592459
2023,Wrangell-St. Elias National Park & Preserve,78305
2023,Yellowstone National Park,4501382
2023,Yosemite National Park,3897070
2023,Zion National Park,4623238
2024,Acadia National Park,3961661
2024,Arches National Park,1466528
2024,Badlands National Park,1094245
2024,Big Bend National Park,561458
2024,Biscayne National Park,512213
2024,Black Canyon of the Gunnison National Park,335862
2024,Bryce Canyon National Park,2498075
2024,Canyonlands National Park,818492
2024,Capitol Reef National Park,1422490
2024,Carlsbad Caverns National Park,460474
2024,Channel Islands National Park,262581
2024,Congaree National Park,242049
2024,Crater Lake National Park,504942
2024,Cuyahoga Valley National Park,2912454
2024,Death Valley National Park,1440484
2024,Denali National Park & Preserve,466227
2024,Dry Tortugas National Park,84873
2024,Everglades National Park,741983
2024,Gates of the Arctic National Park & Preserve,11907
2024,Gateway Arch National Park,2563052
2024,Glacier Bay National Park & Preserve,736282
2024,Glacier National Park,3208755
2024,Grand Canyon National Park,4919163
2024,Grand Teton National Park,3628222
2024,Great Basin National Park,152068
2024,Great Sand Dunes National Park & Preserve,437661
2024,Great Smoky Mountains National Park,12191834
2024,Guadalupe Mountains National Park,226134
2024,Haleakala National Park,732477
2024,Hawaii Volcanoes National Park,1433593
2024,Hot Springs National Park,2461812
2024,Indiana Dunes National Park,2705209
2024,Isle Royale National Park,28806
2024,Joshua Tree National Park,2991874
2024,Katmai National Park & Preserve,36230
2024,Kenai Fjords National Park,419468
2024,Kings Canyon National Park,699389
2024,Kobuk Valley National Park,17233
2024,Lake Clark National Park & Preserve,18505
2024,Lassen Volcanic National Park,357651
2024,Mammoth Cave National Park,747042
2024,Mesa Verde National Park,480065
2024,Mount Rainier National Park,1620006
2024,New River Gorge National Park & Preserve,1811937
2024,North Cascades National Park,16485
2024,Olympic National Park,3717267
2024,Petrified Forest National Park,559254
2024,Pinnacles National Park,354076
2024,Redwood National Park,622883
2024,Rock Creek Park,1917170
2024,Rocky Mountain National Park,4154349
2024,Saguaro National Park,946369
2024,Sequoia National Park,1309573
2024,Shenandoah National Park,1720211
2024,Theodore Roosevelt National Park,732951
2024,Virgin Islands National Park,423029
2024,Voyageurs National Park,199030
2024,White Sands National Park,702236
2024,Wind Cave National Park,489399
2024,Wrangell-St. Elias National Park & Preserve,81670
2024,Yellowstone National Park,4744353
2024,Yosemite National Park,4121807
2024,Zion National Park,4946592
